1,この自転車は＿＿＿しょうがない。,1
2,犬が飼い主にそっくりなのが＿＿＿たまらなかった。,1
3,妹はわたしが持っているバッグが＿＿＿。,1
4,これからわたしたちの力で、明るい日本を＿＿＿ではありませんか。,2
5,皆さん、リサイクル運動に＿＿＿。,2
6,けがをしたくなければ、工事現場には＿＿＿。,2
7,子供にはまず正しい生活習慣を＿＿＿ことだと思う。,2
8,＿＿＿、うそをつかないことだ。,2
9,親は子供の面倒をちゃんと＿＿＿ものだ。,2
10,＿＿＿は、借りたらすぐ返すものだ。,2
11,＿＿＿ときは、前日よく休むものです。,2
12,すみません、来週の旅行なんですが、用事ができたので＿＿＿が。,3
13,100メートル走ったくらいで＿＿＿なんて、運動不足だ。,4
14,メールの返事を１件書くくらい＿＿＿。,4
15,わたしは＿＿＿くらいで薬は飲まない。,4
16,お金など＿＿＿と思っていた時もあった。,4
17,彼はこの問題に関係ないのだから、＿＿＿ものだ。,3
18,＿＿＿を食べてみたいものだ。,3
19,彼は母親が＿＿＿にもかかわらず、毎日遊び歩いている。,5
20,「うるさい」と注意されたにもかかわらず、みんな＿＿＿。,5
21,このような大雨にもかかわらず、＿＿＿。,5
22,仕事中だが、今やっている試合の＿＿＿しょうがない。,1
23,一人暮らしを始めて最初のころは、＿＿＿ならなかった。,1
24,今日紹介された松本さんにはどこかで一度会っているような＿＿＿ならない。,1
